Language_Skill,Math_Skill,Coding_Skill,Health_Condition,Performance_Label
1.87,95,4,-0.9,1
4.75,93,10,0.56,1
3.66,46,8,0.66,1
2.99,98,10,0.5,1
0.78,54,2,0.6,0
0.78,39,5,0.65,0
0.29,51,9,-0.63,1
4.33,15,4,-0.53,0
3.01,12,6,0.27,0
3.54,29,1,0.82,0
0.1,18,9,-0.37,1
4.85,16,1,0.18,0
4.16,62,5,0.37,0
1.06,18,4,-0.1,0
0.91,91,3,0.43,1
0.92,57,6,0.8,1
1.52,54,2,0.25,0
2.62,89,3,0.08,1
2.16,100,5,-0.12,1
1.46,89,9,0.15,1
3.06,61,2,-0.29,0
0.7,22,10,-0.22,1
1.46,8,8,0.06,0
1.83,11,2,-0.87,0
2.28,0,5,-0.54,0
3.93,57,7,0.09,1
1.0,0,8,-0.14,1
2.57,33,1,-0.33,0
2.96,95,6,0.46,1
0.23,47,1,0.39,0
3.04,88,2,-0.67,0
0.85,0,1,0.76,0
0.33,15,5,-0.01,0
4.74,60,10,0.48,1
4.83,63,9,0.15,1
4.04,62,6,1.0,1
1.52,68,1,0.5,0
0.49,21,1,0.41,0
3.42,92,2,0.56,1
2.2,66,9,-0.71,1
0.61,75,3,-0.59,0
2.48,25,1,0.43,0
0.17,15,5,-0.01,0
4.55,50,7,0.51,1
1.29,100,6,-0.79,1
3.31,85,1,0.07,0
1.56,56,5,-0.24,1
2.6,28,5,-0.09,0
2.73,77,6,0.21,1
0.92,91,3,0.0,0
4.85,68,5,0.08,1
3.88,46,7,-0.03,1
4.7,93,5,-0.18,1
4.47,61,5,0.54,1
2.99,68,5,-0.98,1
4.61,75,10,0.2,1
0.44,15,10,0.13,0
0.98,89,3,0.43,0
0.23,89,1,0.2,1
1.63,47,5,0.65,0
1.94,84,9,0.92,1
1.36,38,1,-0.31,0
4.14,99,3,-0.55,0
1.78,32,4,-0.15,1
1.4,93,1,-0.42,1
2.71,100,1,0.23,0
0.7,22,8,0.82,0
4.01,9,2,-0.72,0
0.37,68,8,-0.8,1
4.93,99,7,-0.49,1
3.86,33,10,0.45,1
0.99,51,10,0.19,1
0.03,94,2,-0.8,0
4.08,9,6,0.84,0
3.53,18,6,0.58,0
3.65,57,3,-0.95,0
